"number";"player";"team";"apps";"min";"goals";"NPG";"a"
326;"Leonardo Balerdi";"Marseille";26;1996;0;0;1
327;"Younes Namli";"Le Havre";12;300;0;0;1
328;"Haris Belkebla";"Angers";33;2894;0;0;0
329;"Donovan Léon";"Auxerre";29;2465;0;0;0
330;"Thomas Delaine";"Le Havre";5;200;0;0;0
331;"Uros Radakovic";"Nantes";6;91;0;0;0
332;"Lucas Gourna Douath";"Le Havre";15;1275;0;0;0
333;"Lucas Chevalier";"Paris Saint Germain";17;1530;0;0;0
334;"Radoslaw Majecki";"Brest";10;868;0;0;0
335;"Wout Faes";"Monaco";14;1136;0;0;0
336;"Thibault De Smet";"Paris FC";17;1153;0;0;1
337;"Facundo Medina";"Marseille";17;1381;0;0;1
338;"Lilian Brassier";"Rennes";27;2253;0;0;1
339;"Cheick Tidiane Sabaly";"Metz";14;972;0;0;2
340;"Timothee Pembele";"Le Havre";14;354;0;0;0
341;"Kevin Omoruyi";"Nice";23;864;0;0;0
342;"Reda Khadra";"Le Havre";8;208;0;0;0
343;"Naouirou Ahamada";"Auxerre";15;676;0;0;1
344;"Krépin Diatta";"Monaco";18;997;0;0;1
345;"Andy Diouf";"Lens";1;90;0;0;0
346;"Mamadou Mbow";"Paris FC";31;2711;0;0;1
347;"Grégoire Coudert";"Brest";25;2188;0;0;0
348;"Christopher Wooh";"Rennes";2;64;0;0;0
349;"Deiver Machado";"Lens,Nantes";19;1201;0;0;1
350;"Salis Abdul Samed";"Nice";18;935;0;0;0
351;"Alidu Seidu";"Rennes";21;1194;0;0;1
352;"Pablo Rosario";"Nice";1;19;0;0;0
353;"Billal Brahimi";"Nice";1;1;0;0;0
354;"Bradley Locko";"Brest";21;1281;0;0;2
355;"Bilal Nadir";"Marseille";20;564;0;0;4
356;"Bamo Meïté";"Lorient";25;1977;0;0;3
357;"Dominik Greif";"Lyon";29;2610;0;0;1
358;"Gideon Mensah";"Auxerre";30;2353;0;0;2
359;"Axel Camblan";"Brest";1;6;0;0;0
360;"Montassar Talbi";"Lorient";29;2610;0;0;1
361;"Felix Lemarechal";"Strasbourg";11;556;0;0;2
362;"Diego Coppola";"Paris FC";13;1170;0;0;2
363;"Jonathan Rowe";"Marseille";1;69;0;0;0
364;"CJ Egan-Riley";"Marseille";11;624;0;0;0
365;"Jacques Ekomie";"Angers";32;2242;0;0;0
366;"Vanderson";"Monaco";14;609;0;0;2
367;"Ismaël Doukouré";"Strasbourg";25;2090;0;0;2
368;"Ugo Raghouber";"Lille";1;1;0;0;0
369;"Soumaila Coulibaly";"Brest";16;1343;0;0;0
370;"Nicolás Tagliafico";"Lyon";20;1292;0;0;3
371;"Johann Lepenant";"Nantes";27;2175;0;0;1
372;"Robin Risser";"Lens";33;2970;0;0;1
373;"Ben Seghir";"Monaco";2;40;0;0;0
374;"Mory Diaw";"Le Havre";30;2662;0;0;1
375;"Branco van den Boomen";"Angers";15;1254;0;0;1
376;"Kjetil Haug";"Toulouse";1;27;0;0;0
377;"Alexsandro Ribeiro";"Lille";9;511;0;0;0
378;"Darline Yongwa";"Lorient";23;1285;0;0;1
379;"Souleymane Isaak Touré";"Lorient";1;25;0;0;0
380;"Michel Diaz";"Brest";20;1555;0;0;0
381;"Badredine Bouanani";"Nice";2;88;0;0;0
382;"Christian Mawissa Elebi";"Monaco";18;1178;0;0;0
383;"Sael Kumbedi";"Lyon";1;69;0;0;0
384;"Théo De Percin";"Auxerre";8;589;0;0;0
385;"Mamadou Sarr";"Strasbourg";15;1306;0;0;0
386;"David Datro Fofana";"Strasbourg";5;172;0;0;0
387;"Youssouf Ndayishimiye";"Nice";2;71;0;0;0
388;"Ibrahim Salah";"Rennes";2;22;0;0;0
389;"Justin-Noel Kalumba";"Angers";4;224;0;0;0
390;"Jérémy Jacquet";"Rennes";19;1678;0;0;0
391;"Tiago Santos";"Lille";15;714;0;0;0
392;"Ousmane Touré";"Lille";1;57;0;0;0
393;"Formose Mendy";"Lorient";2;142;0;0;0
394;"Guillaume Restes";"Toulouse";33;2943;0;0;0
395;"Philipp Köhn";"Monaco";19;1615;0;0;0
396;"Loïc Négo";"Le Havre";30;2339;0;0;0
397;"Étienne Youté";"Le Havre";9;415;0;0;0
398;"Maxime Colin";"Metz";22;1697;0;0;0
399;"Malick Mbaye";"Metz";5;302;0;0;0
400;"Abakar Sylla";"Nantes,Strasbourg";3;68;0;0;0
401;"Clinton Mata";"Lyon";32;2845;0;0;0
402;"William Pacho";"Paris Saint Germain";23;1910;0;0;0
403;"Mohamed Kaba";"Nantes";12;938;0;0;2
404;"Fodé Sylla";"Lens";4;94;0;0;0
405;"Joseph N&#039;Duquidi";"Metz";1;4;0;0;0
406;"Joel Mvuka";"Lorient";15;549;0;0;0
407;"Fabian Rieder";"Rennes";3;144;0;0;0
408;"Bertug Yildirim";"Rennes";1;1;0;0;0
409;"Ernest Nuamah";"Lyon";3;16;0;0;0
410;"Gabriel Osho";"Auxerre";2;139;0;0;0
411;"Mahamadou Nagida";"Rennes";19;780;0;0;0
412;"Ayyoub Bouaddi";"Lille";30;2354;0;0;1
413;"Kassoum Ouattara";"Monaco";15;992;0;0;3
414;"Paris Brunner";"Monaco";7;113;0;0;0
415;"Luc Zogbe";"Brest";9;281;0;0;0
416;"Renato Marin";"Paris Saint Germain";2;180;0;0;0
417;"Nhoa Sangui";"Paris FC";26;1723;0;0;0
418;"Noah Edjouma";"Lille,Toulouse";15;319;0;0;0
