Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,Unnamed: 9
,M. Soulé CAM ST,22,79,85,Roma 2024 ~ 2029,€28M,€50K,1995,
,Morata ST CAM CM,32,79,79,"Como Jun 30, 2026 On loan",€14M,€56K,1954,
,Diego Carlos CB,32,79,79,"Como Jun 30, 2026 On loan",€11.5M,€55K,1843,
,M. Baturina CAM LM CM,22,79,84,Como 2025 ~ 2030,€27M,€78K,2073,
,R. Gosens LB LM LW,30,79,79,Fiorentina 2025 ~ 2028,€15M,€53K,2136,
,E. Audero GK,28,79,79,"Cremonese Jun 30, 2026 On loan",€12.5M,€57K,1202,
,N. Gonzalez LM RM CAM LW,27,79,79,"Atlético Madrid Jun 30, 2026 On loan",€18.5M,€105K,2055,
,Yuri Berchiche LB LM,35,79,79,Athletic Club 2018 ~ 2028,€5.5M,€34K,2139,
,Bartra CB,34,79,79,Real Betis Balompié 2023 ~ 2027,€5.5M,€33K,1997,
,S. Amrabat CDM CM,28,79,79,"Real Betis Balompié Jun 30, 2026 On loan",€15.5M,€55K,2133,
,Cucho Hernández ST CAM,26,79,80,Real Betis Balompié 2025 ~ 2030,€21M,€36K,2079,
,Marcos Alonso CB LB,34,79,79,RC Celta 2024 ~ 2028,€5.5M,€33K,2167,
,M. Dmitrović GK,33,79,79,RCD Espanyol 2025 ~ 2028,€5.5M,€18K,1317,
,Carlos Romero LB CM,23,79,83,"RCD Espanyol Jun 30, 2026 On loan",€23.5M,€35K,2106,
,Sergi Darder CM CAM LM CDM,31,79,79,RCD Mallorca 2023 ~ 2028,€14.5M,€38K,2156,
,Raíllo CB,33,79,79,RCD Mallorca 2016 ~ 2027,€8.5M,€37K,1751,
,Y. Herrera CM CDM,27,79,79,Real Sociedad 2025 ~ 2030,€18.5M,€43K,2152,
,Sergio Herrera GK,32,79,79,CA Osasuna 2017 ~ 2028,€8.5M,€25K,1264,
,F. Boyomo CB,23,79,85,CA Osasuna 2024 ~ 2029,€25M,€32K,1779,
,F. Lejeune CB,34,79,79,Rayo Vallecano 2023 ~ 2028,€5.5M,€30K,1986,
,S. Castro ST,20,77,84,Bologna 2024 ~ 2028,€21M,€37K,1915,
,Jesús Rodríguez LM RM LW,19,77,85,Como 2025 ~ 2029,€23M,€52K,1853,
,N. Kühn RW RM LM,25,77,78,Como 2025 ~ 2029,€12.5M,€77K,2008,
,M. Solomon LM RW LW,25,77,77,"Fiorentina Jun 30, 2026 On loan",€11.5M,€78K,1867,
,N. Matić CDM CM,36,77,77,Sassuolo 2025 ~ 2028,€2.1M,€17K,1948,
,C. Lenglet CB,30,77,77,Atlético Madrid 2025 ~ 2028,€8.5M,€55K,1835,
,N. Molina RB CDM,27,77,77,Atlético Madrid 2022 ~ 2027,€10M,€52K,2065,
,Fran García LB LM,25,77,80,Real Madrid 2023 ~ 2027,€13M,€115K,1945,
,F. Mastantuono RM RW,17,77,87,Real Madrid 2025 ~ 2031,€22M,€66K,1984,
,Beñat Prados CDM CM CB,24,77,82,Athletic Club 2019 ~ 2031,€14.5M,€32K,2011,
,Pau López GK,30,77,77,Real Betis Balompié 2025 ~ 2028,€7M,€18K,1394,
,Aitor Ruibal RM RB LM,29,77,77,Real Betis Balompié 2016 ~ 2028,€10.5M,€29K,2064,
,Fidalgo CM CAM CDM,28,77,77,Real Betis Balompié 2026 ~ 2030,€10.5M,€29K,2030,
,Álvaro Valles GK,27,77,79,Real Betis Balompié 2025 ~ 2030,€9.5M,€17K,1202,
,Altimira CDM CM,23,77,83,Real Betis Balompié 2023 ~ 2029,€15.5M,€23K,1978,
,Edu Expósito CAM CM CDM,28,77,77,RCD Espanyol 2022 ~ 2027,€10.5M,€25K,2108,
,Puado LW ST CAM LM,27,77,77,RCD Espanyol 2017 ~ 2030,€11M,€25K,2022,
,J. Mojica LB LM,32,77,77,RCD Mallorca 2024 ~ 2027,€7.5M,€31K,2048,
,M. Valjent CB,29,77,77,RCD Mallorca 2019 ~ 2029,€9M,€31K,1786,
,Leo Román GK,24,77,83,RCD Mallorca 2020 ~ 2030,€13.5M,€15K,1206,
,Gorrotxa CDM CM,22,77,85,Real Sociedad 2024 ~ 2027,€22.5M,€30K,1970,
,Zubeldia CB,28,77,78,Real Sociedad 2015 ~ 2029,€10M,€36K,2050,
,J. Aramburu RB,22,77,83,Real Sociedad 2023 ~ 2030,€16M,€30K,1978,
,Jon Martín CB,19,77,86,Real Sociedad 2023 ~ 2030,€21M,€24K,1671,
,S. Dimitrievski GK,31,77,77,Valencia CF 2024 ~ 2029,€5.5M,€24K,1223,
,Gayà LB LM,30,77,77,Valencia CF 2012 ~ 2027,€9M,€36K,2046,
,Luis Rioja RM LM RW,31,77,77,Valencia CF 2024 ~ 2027,€8.5M,€38K,1967,
,Hugo Duro ST,25,77,79,Valencia CF 2022 ~ 2028,€13.5M,€38K,1995,
,Diego López LW RM ST LM,23,77,82,Valencia CF 2021 ~ 2029,€16M,€34K,1912,
,L. Boyé ST,29,77,77,Deportivo Alavés 2025 ~ 2029,€10.5M,€33K,2018,
,Sivera GK,28,77,79,Deportivo Alavés 2017 ~ 2027,€9M,€19K,1313,
,Toni Martínez ST,28,77,77,Deportivo Alavés 2024 ~ 2028,€11M,€33K,1848,
,N. Tenaglia CB RB LB,29,77,77,Deportivo Alavés 2023 ~ 2027,€9M,€29K,1902,
,Aitor Fernández GK,34,77,77,CA Osasuna 2022 ~ 2027,€1.8M,€22K,1282,
,Lucas Torró CDM CM,30,77,77,CA Osasuna 2020 ~ 2027,€9M,€33K,1924,
,Moncayola CM CDM RM,27,77,77,CA Osasuna 2017 ~ 2031,€11M,€33K,2049,
,Aimar Oroz CAM CM LM,23,77,82,CA Osasuna 2022 ~ 2029,€16M,€29K,2041,
,A. Mumin CB,27,77,79,Rayo Vallecano 2022 ~ 2028,€11M,€24K,1878,
,Óscar Valentín CDM CM,30,77,77,Rayo Vallecano 2019 ~ 2027,€9M,€25K,1895,
,P. Ciss CDM CM CB,31,77,77,Rayo Vallecano 2021 ~ 2027,€7.5M,€25K,1883,
,Carmona RB CB LB CM,23,77,83,Sevilla FC 2020 ~ 2028,€15.5M,€26K,2039,
,L. Costa CB,24,77,83,Villarreal CF 2024 ~ 2030,€15M,€30K,1727,
,Carlos Álvarez RM CAM RW,21,77,83,Levante UD 2023 ~ 2027,€17M,€22K,1907,
,D. Djené CB RB CDM,33,77,77,Getafe CF 2017 ~ 2030,€5M,€33K,1862,
,Borja Mayoral ST,28,77,77,Getafe CF 2022 ~ 2027,€11M,€37K,1916,
,T. Lemar CM CAM CDM,29,77,77,"Girona FC Jun 30, 2026 On loan",€10.5M,€57K,2111,
,Álex Moreno LB,32,77,77,Girona FC 2025 ~ 2027,€7.5M,€31K,2019,
,Fran Beltrán CM CDM,26,77,78,Girona FC 2026 ~ 2030,€12.5M,€31K,2014,
,Iván Martín CM CDM CAM,26,77,78,Girona FC 2023 ~ 2028,€12.5M,€31K,2031,
,V. Vanat ST,23,77,82,Girona FC 2025 ~ 2030,€16M,€30K,1902,
,V. Lindelöf CB,30,76,76,Aston Villa 2025 ~ 2027,€6M,€81K,1864,
,B. Badiashile CB,24,76,80,Chelsea 2023 ~ 2030,€9.5M,€72K,1770,
,M. Keane CB,32,76,76,Everton 2017 ~ 2029,€4.9M,€37K,1774,
,Beto ST,27,76,76,Everton 2023 ~ 2027,€8M,€41K,1777,
,J. O'Brien RB CB RM,24,76,81,Everton 2024 ~ 2028,€10.5M,€31K,1878,
,T. Iroegbunam CDM CM,22,76,80,Everton 2024 ~ 2027,€10M,€31K,1924,
,T. Barry ST,22,76,84,Everton 2025 ~ 2029,€17M,€36K,1826,
,L. Nmecha ST,26,76,77,Leeds United 2025 ~ 2027,€9M,€55K,1906,
,J. Justin RB LB CB,27,76,76,Leeds United 2025 ~ 2029,€7M,€49K,1937,
,D. James RW RM,27,76,76,Leeds United 2021 ~ 2029,€8M,€54K,1962,
,A. Tanaka CDM CM,26,76,78,Leeds United 2024 ~ 2028,€8.5M,€49K,2036,
,S. Longstaff CM CDM,27,76,76,Leeds United 2025 ~ 2029,€8M,€51K,1986,
,P. Struijk CB,25,76,78,Leeds United 2018 ~ 2027,€8.5M,€47K,1798,
,N. Okafor ST LW CAM,25,76,79,Leeds United 2025 ~ 2029,€10M,€53K,1926,
,J. Bogle RB RM,24,76,79,Leeds United 2024 ~ 2028,€9.5M,€42K,1932,
,B. Aaronson RW CAM CM RM,24,76,79,Leeds United 2022 ~ 2027,€10M,€48K,2010,
,J. Willock CM CAM,25,76,78,Newcastle United 2021 ~ 2027,€9.5M,€83K,2044,
,L. Miley CM RB CDM,19,76,86,Newcastle United 2023 ~ 2028,€16M,€60K,2011,
,R. Yates CDM CM,27,76,77,Nottingham Forest 2016 ~ 2028,€7.5M,€68K,1912,
,D. Bakwa RM RW,22,76,82,Nottingham Forest 2025 ~ 2030,€12M,€61K,1864,
,Morato CB LB CDM,24,76,80,Nottingham Forest 2024 ~ 2029,€9.5M,€58K,1655,
,O. Hutchinson RM CAM RW,21,76,84,Nottingham Forest 2025 ~ 2030,€17M,€52K,1951,
,A. Areola GK,32,76,76,West Ham United 2022 ~ 2027,€3.7M,€37K,1372,
,K. Walker-Peters RB RM,28,76,76,West Ham United 2025 ~ 2028,€7M,€56K,1853,
,T. Souček CDM CM,30,76,76,West Ham United 2020 ~ 2027,€6.5M,€56K,1979,
,C. Talbi RW RM LM,20,76,86,Sunderland 2025 ~ 2030,€16.5M,€41K,1862,
,S. Johnstone GK,32,76,76,Wolverhampton Wanderers 2024 ~ 2028,€3.7M,€37K,1235,
,José Sá GK,32,76,76,Wolverhampton Wanderers 2021 ~ 2027,€3.7M,€37K,1303,
,S. Bueno CB,26,76,78,Wolverhampton Wanderers 2023 ~ 2028,€8M,€54K,1613,
,A. Gomes CAM CDM CM,24,76,81,"Wolverhampton Wanderers Jun 30, 2026 On loan",€11.5M,€31K,2105,
,T. Arokodare ST,24,76,79,Wolverhampton Wanderers 2025 ~ 2029,€10.5M,€54K,1754,
,Kevin LM LW RW,22,76,81,Fulham FC 2025 ~ 2030,€11.5M,€58K,1852,
,I. Diop CB,28,76,77,Fulham FC 2022 ~ 2027,€7M,€66K,1641,
,Jorge Cuenca CB,25,76,79,Fulham FC 2024 ~ 2028,€9M,€60K,1708,
,Rodrigo Muniz ST,24,76,81,Fulham FC 2021 ~ 2030,€11.5M,€63K,1878,
,O. Bobb RM LM RW,21,76,84,Fulham FC 2026 ~ 2031,€17M,€49K,1791,
,J. Anthony LM RM LW,25,76,77,Burnley 2025 ~ 2029,€9M,€49K,1875,
,L. Ugochukwu CDM CM CAM,21,76,82,Burnley 2025 ~ 2030,€11M,€36K,1971,
,M. Estève CB,23,76,82,Burnley 2024 ~ 2030,€11M,€42K,1753,
,Q. Hartman LB LM,23,76,80,Burnley 2025 ~ 2029,€10M,€42K,2023,
,C. Uche ST CAM CM,22,76,82,"Crystal Palace Jun 30, 2026 On loan",€12M,€29K,2010,
,J. Hinshelwood CDM RB CAM CM,20,76,84,Brighton & Hove Albion 2023 ~ 2029,€15.5M,€49K,2029,
,K. Ajer CB RB LB,27,76,77,Brentford 2021 ~ 2030,€7.5M,€57K,1862,
,R. Henry LB LM,27,76,76,Brentford 2016 ~ 2030,€7M,€57K,1847,
,K. Lewis-Potter LB LM RM,24,76,79,Brentford 2022 ~ 2031,€9.5M,€49K,2038,
,D. Brooks RM RW,27,76,76,AFC Bournemouth 2018 ~ 2029,€8M,€60K,1948,
,E. Ünal ST,28,76,76,AFC Bournemouth 2024 ~ 2028,€7.5M,€68K,1926,
,D. Léon GK,32,76,76,AJ Auxerre 2020 ~ 2027,€3.7M,€15K,1297,
,R. Faivre RM RW,26,76,76,"AJ Auxerre Jun 30, 2026 On loan",€8M,€60K,2067,
,S. Abdulhamid RB RM,25,76,78,"RC Lens Jun 30, 2026 On loan",€8.5M,€41K,1933,
,S. Baidoo CB,21,76,83,RC Lens 2025 ~ 2030,€14M,€18K,1641,
,R. Perraud LB LM,27,76,76,Lille OSC 2025 ~ 2028,€7M,€26K,2112,
,O. Sahraoui LM CAM LW,24,76,80,Lille OSC 2024 ~ 2029,€11M,€24K,1834,
,M. Fernandez-Pardo LM RM ST LW,20,76,84,Lille OSC 2024 ~ 2029,€16.5M,€20K,1923,
,Clinton Mata CB,32,76,76,Olympique Lyonnais 2023 ~ 2028,€4.9M,€20K,2037,
,O. Mangala CDM CM,27,76,77,Olympique Lyonnais 2024 ~ 2028,€7.5M,€19K,1910,
,T. Tessmann CDM CM,23,76,82,Olympique Lyonnais 2024 ~ 2029,€11M,€17K,1958,
,G. Hein CAM CM,28,76,76,FC Metz 2024 ~ 2028,€7.5M,€17K,1908,
,S. Adingra LW LM RW,23,76,82,"AS Monaco Jun 30, 2026 On loan",€12M,€48K,1808,
,A. Lopes GK,34,76,76,FC Nantes 2024 ~ 2027,€1.3M,€12K,1328,
,M. Abline ST LW LM,22,76,82,FC Nantes 2024 ~ 2028,€12M,€18K,1919,
,M. Sanson CM CAM CDM,30,76,76,OGC Nice 2024 ~ 2027,€7M,€26K,2087,
,S. Diop LW LM CAM,25,76,78,OGC Nice 2022 ~ 2027,€9.5M,€26K,1945,
,H. Boudaoui CM CDM,25,76,79,OGC Nice 2019 ~ 2027,€10M,€24K,2070,
,Y. Ndayishimiye CB CDM CM,26,76,78,OGC Nice 2023 ~ 2027,€8M,€24K,1925,
,P. Frankowski RB RM,30,76,76,"Stade Rennais FC Jun 30, 2026 On loan",€6.5M,€44K,2087,
,L. Blas RM RW CAM,27,76,76,Stade Rennais FC 2023 ~ 2027,€8M,€25K,2053,
,L. Brassier CB,25,76,80,Stade Rennais FC 2025 ~ 2029,€9.5M,€23K,1775,
,A. Rouault CB,24,76,81,Stade Rennais FC 2025 ~ 2029,€10M,€21K,1712,
,M. Al Tamari LM RM LB LW,28,76,76,Stade Rennais FC 2025 ~ 2028,€7.5M,€26K,2000,
,Q. Merlin LB LM,23,76,82,Stade Rennais FC 2025 ~ 2029,€11M,€21K,2030,
,J. Jacquet CB,19,76,85,Stade Rennais FC 2022 ~ 2029,€15M,€17K,1705,
,Y. Mvogo GK,31,76,76,FC Lorient 2022 ~ 2027,€4M,€13K,1273,
,L. Abergel CDM CM,32,76,76,FC Lorient 2019 ~ 2029,€5M,€20K,1887,
,H. Abdelli CAM CM CDM,25,76,78,Olympique de Marseille 2026 ~ 2030,€9.5M,€34K,2035,
,E. Nwaneri RW CAM RM,18,76,87,"Olympique de Marseille Jun 30, 2026 On loan",€16M,€67K,1904,
,K. Lala RB RM,33,76,76,Stade Brestois 29 2023 ~ 2027,€3.9M,€23K,2028,
,R. Del Castillo RM RW,29,76,76,Stade Brestois 29 2021 ~ 2027,€7.5M,€24K,1998,
,H. Magnetti CDM CM,27,76,78,Stade Brestois 29 2018 ~ 2027,€8M,€22K,1875,
,R. Nicolaisen CB,28,76,77,Toulouse FC 2021 ~ 2027,€7M,€23K,1686,
,A. Dønnum RM LM RW,27,76,76,Toulouse FC 2023 ~ 2027,€8M,€23K,1989,
,Y. Gboho LW RW CAM LM,24,76,79,Toulouse FC 2024 ~ 2027,€10M,€22K,1870,
,M. Simon LW LM,29,76,76,Paris FC 2025 ~ 2028,€7.5M,€47K,1913,
,M. Lopez CM CDM,27,76,76,Paris FC 2024 ~ 2027,€8M,€42K,2023,
,N. Elvedi CB,28,76,76,Borussia Mönchengladbach 2015 ~ 2027,€6.5M,€27K,1775,
,K. Diks CB LB RB CM,28,76,77,Borussia Mönchengladbach 2025 ~ 2030,€7M,€27K,2043,
,C. Günter LB LM,32,76,76,SC Freiburg 2012 ~ 2029,€5M,€27K,2002,
,M. Eggestein CDM CM,28,76,76,SC Freiburg 2021 ~ 2030,€6.5M,€27K,1969,
,J. Beste RM LM RB,26,76,76,SC Freiburg 2025 ~ 2029,€8M,€27K,1989,
,A. Sambi Lokonga CM CDM,25,76,78,Hamburger SV 2025 ~ 2028,€9.5M,€23K,1969,
,S. El Mala LM CAM ST LW,18,76,87,1. FC Köln 2024 ~ 2030,€16M,€16K,1895,
,E. Martel CDM CB CM,23,76,81,1. FC Köln 2022 ~ 2029,€10.5M,€20K,1861,
,C. Kofane ST,18,76,86,Bayer 04 Leverkusen 2025 ~ 2029,€16M,€43K,1844,
,E. Fernández CDM CM,22,76,84,Bayer 04 Leverkusen 2025 ~ 2030,€16M,€48K,1891,
,E. Poku RM RW LM,21,76,85,Bayer 04 Leverkusen 2025 ~ 2030,€17M,€43K,1882,
,J. Quansah CB,22,76,84,Bayer 04 Leverkusen 2025 ~ 2030,€15.5M,€48K,1780,
,A. Karazor CDM CM,28,76,76,VfB Stuttgart 2019 ~ 2028,€6.5M,€34K,1665,
,Tiago Tomás LM ST RM LW,23,76,82,VfB Stuttgart 2025 ~ 2029,€12M,€30K,1925,
,A. Pieper CB,27,76,78,SV Werder Bremen 2022 ~ 2029,€8M,€26K,1655,
,Puertas CAM CM RM,26,76,77,"SV Werder Bremen Jun 30, 2026 On loan",€9M,€33K,2115,
,S. Lynen CDM CM CB,26,76,79,SV Werder Bremen 2023 ~ 2029,€9M,€26K,1958,
,D. Kohr CB CDM,31,76,76,1. FSV Mainz 05 2022 ~ 2028,€5M,€27K,1926,
,Lee Jae Sung CAM CM,32,76,76,1. FSV Mainz 05 2021 ~ 2030,€6M,€28K,2050,
,P. Nebel CAM CM RM,22,76,83,1. FSV Mainz 05 2020 ~ 2027,€15M,€24K,1907,
,C. Eriksen CAM CDM CM,33,76,76,VfL Wolfsburg 2025 ~ 2027,€4.7M,€43K,1896,
,M. Svanberg CM CDM,26,76,77,VfL Wolfsburg 2022 ~ 2027,€9M,€40K,1991,
,D. Vavro CB,29,76,76,VfL Wolfsburg 2025 ~ 2027,€6.5M,€40K,1920,
,J. Wind ST CAM,26,76,77,VfL Wolfsburg 2022 ~ 2028,€9M,€44K,1921,
,K. Koulierakis CB,21,76,85,VfL Wolfsburg 2024 ~ 2029,€15.5M,€28K,1805,
,F. Chaïbi CAM CM LM,22,76,81,Eintracht Frankfurt 2023 ~ 2028,€11.5M,€26K,2068,
,R. Khedira CDM CM,31,76,76,1. FC Union Berlin 2021 ~ 2029,€5M,€32K,1784,
,Diogo Leite CB,26,76,79,1. FC Union Berlin 2023 ~ 2028,€8.5M,€31K,1677,
,O. Kabak CB,25,76,78,TSG 1899 Hoffenheim 2022 ~ 2030,€8.5M,€29K,1709,
,T. Lemperle ST RW CAM,23,76,80,TSG 1899 Hoffenheim 2025 ~ 2029,€11M,€31K,1853,
,R. Hranáč CB,25,76,77,TSG 1899 Hoffenheim 2024 ~ 2028,€8M,€29K,1666,
,D. Giannoulis LB LM,29,76,76,FC Augsburg 2024 ~ 2028,€6.5M,€32K,1939,
,A. Claude-Maurice CAM CM ST,27,76,77,FC Augsburg 2024 ~ 2027,€8.5M,€33K,2087,
,F. Dahmen GK,27,76,77,FC Augsburg 2023 ~ 2028,€6.5M,€20K,1230,
,P. Mainka CB,30,76,76,1. FC Heidenheim 1846 2018 ~ 2029,€6M,€29K,1662,
,L. Klostermann CB RB,29,76,77,RB Leipzig 2014 ~ 2028,€7M,€44K,1845,
,M. Sportiello GK,33,76,76,Atalanta 2025 ~ 2028,€2.4M,€34K,1351,
,N. Krstović ST,25,76,79,Atalanta 2025 ~ 2030,€10M,€54K,1792,
,Y. Bisseck CB,24,76,80,Inter 2023 ~ 2029,€9.5M,€23K,1924,
,F. Esposito ST,20,76,84,Inter 2024 ~ 2027,€16.5M,€23K,1889,
,J. Boga LW ST LM,28,76,76,"Juventus Jun 30, 2026 On loan",€7.5M,€28K,1946,
,Pedro RM LM RW,37,76,76,Lazio 2021 ~ 2028,€2.4M,€23K,1856,
,S. Gigot CB,31,76,76,Lazio 2025 ~ 2027,€5M,€30K,1746,
,M. Lazzari RB RM,31,76,76,Lazio 2019 ~ 2027,€5.5M,€30K,2009,
,G. Isaksen RM RW,24,76,79,Lazio 2023 ~ 2028,€10M,€26K,1824,
,Nuno Tavares LB LM,25,76,79,Lazio 2025 ~ 2029,€9M,€27K,2061,
,Gabriel Strefezza RM LM ST RW,28,76,76,"Parma Jun 30, 2026 On loan",€7.5M,€30K,1788,
,Adrián Bernabé CM CDM CAM,24,76,81,Parma 2021 ~ 2027,€11.5M,€18K,2055,
,N. El Aynaoui CM CDM,23,76,81,Roma 2025 ~ 2030,€11.5M,€39K,1991,
,V. Lazaro RM LM LB RB,29,76,76,Torino 2023 ~ 2027,€7.5M,€37K,2053,
,G. Simeone ST,29,76,76,"Torino Jun 30, 2026 On loan",€7.5M,€80K,1920,
,G. Maripán CB,31,76,76,Torino 2024 ~ 2030,€5M,€35K,1594,
,Saúl Coco CB,26,76,79,Torino 2024 ~ 2029,€8.5M,€34K,1870,
,J. Lucumí CB,27,76,78,Bologna 2022 ~ 2028,€8M,€40K,1738,
,Juan Miranda LB LM,25,76,79,Bologna 2024 ~ 2027,€9M,€38K,1998,
,N. Cambiaghi LM LW,24,76,78,Bologna 2024 ~ 2029,€9.5M,€37K,1904,
,L. Montipò GK,29,76,77,Hellas Verona FC 2022 ~ 2028,€6M,€9K,1203,
,S. Serdar CM CDM,28,76,76,Hellas Verona FC 2024 ~ 2028,€7.5M,€14K,2060,
,A. Al Musrati CDM CM,29,76,76,"Hellas Verona FC Jun 30, 2026 On loan",€6.5M,€35K,1900,
,Sergi Roberto CDM CM RB,33,76,76,Como 2024 ~ 2029,€3.7M,€70K,2028,
,M. Vojvoda RB RM,30,76,76,Como 2025 ~ 2028,€6.5M,€70K,1935,
,L. Da Cunha CDM CM CAM,24,76,80,Como 2023 ~ 2029,€10M,€58K,2115,
,T. Douvikas ST,25,76,79,Como 2025 ~ 2029,€10M,€73K,1888,
,M. Perrone CDM CM CB,22,76,84,Como 2025 ~ 2029,€16M,€58K,1907,
,A. Diao RM LM LW RW,19,76,87,Como 2025 ~ 2029,€16M,€49K,1853,
,Y. Mina CB,30,76,76,Cagliari 2024 ~ 2028,€6M,€13K,1652,
,R. Mandragora CM CDM,28,76,76,Fiorentina 2022 ~ 2030,€7.5M,€44K,2012,
,N. Fagioli CM CDM,24,76,81,Fiorentina 2025 ~ 2028,€11.5M,€37K,2039,
,M. Frendrup CDM CM,24,76,80,Genoa 2022 ~ 2028,€10M,€19K,1941,
,C. Stengs CAM CM,26,76,77,"Pisa Jun 30, 2026 On loan",€9M,€16K,1920,
,K. Thorstvedt CM CAM CDM,26,76,76,Sassuolo 2022 ~ 2027,€8M,€21K,2037,
,Areso RB RM,25,76,78,Athletic Club 2025 ~ 2031,€8.5M,€33K,1922,
,Gorosabel RB RM,28,76,76,Athletic Club 2024 ~ 2028,€7M,€36K,1911,
,Robert Navarro RW RM LW,23,76,82,Athletic Club 2025 ~ 2030,€12M,€34K,1932,
,Héctor Bellerín RB RM,30,76,76,Real Betis Balompié 2023 ~ 2028,€6.5M,€26K,1933,
,Riquelme LM CAM RM LW,25,76,77,Real Betis Balompié 2025 ~ 2030,€9M,€25K,1922,
,V. Gómez CB LB CDM,22,76,84,Real Betis Balompié 2025 ~ 2030,€15.5M,€22K,1831,
,M. Vecino CM CDM,33,76,76,RC Celta 2026 ~ 2027,€4.6M,€27K,2028,
,Álvaro Núñez RB RM CB CM,24,76,80,RC Celta 2026 ~ 2030,€10M,€22K,1931,
,Javi Rodríguez CB RB RM,22,76,82,RC Celta 2023 ~ 2028,€11M,€22K,1875,
,L. Cabrera CB,34,76,76,RCD Espanyol 2020 ~ 2027,€2.4M,€22K,1754,
,Urko González CDM CM,24,76,82,RCD Espanyol 2025 ~ 2030,€11M,€18K,1816,
,Manu Morlanes CDM CM,26,76,78,RCD Mallorca 2023 ~ 2028,€8.5M,€28K,2005,
,M. Kumbulla CB,25,76,79,"RCD Mallorca Jun 30, 2026 On loan",€9M,€41K,1688,
,L. Sučić CM ST CAM,22,76,81,Real Sociedad 2024 ~ 2028,€11.5M,€30K,2114,
,Turrientes CM CDM,23,76,82,Real Sociedad 2022 ~ 2027,€12M,€30K,2030,
,G. Rodríguez CDM CM CB,31,76,76,Valencia CF 2026 ~ 2030,€5M,€34K,1900,
,M. Diakhaby CB,28,76,76,Valencia CF 2018 ~ 2027,€6.5M,€34K,1691,
,Pepelu CM CDM,26,76,77,Valencia CF 2023 ~ 2028,€9M,€34K,2089,
,U. Sadiq ST,28,76,76,Valencia CF 2026 ~ 2028,€7.5M,€38K,1836,
,L. Ramazani LW LM RM,24,76,79,"Valencia CF Jun 30, 2026 On loan",€10M,€48K,1947,
,Agirrezabala GK,24,76,81,"Valencia CF Jun 30, 2026 On loan",€9M,€18K,1140,
,Javi Guerra CM CDM CAM,22,76,84,Valencia CF 2021 ~ 2029,€17M,€30K,2091,
,Antonio Blanco CDM CM,24,76,81,Deportivo Alavés 2023 ~ 2027,€10.5M,€23K,1871,
,Bigas CB,35,76,76,Elche CF 2021 ~ 2027,€2M,€17K,1873,
,M. Dituro GK,38,76,76,Elche CF 2024 ~ 2027,€825K,€9K,1308,
,André da Silva ST CAM,29,76,76,Elche CF 2025 ~ 2030,€7.5M,€26K,1995,
,Iñaki Peña GK,26,76,80,"Elche CF Jun 30, 2026 On loan",€8M,€41K,1139,
,Valera LM LB RM,23,76,80,Elche CF 2025 ~ 2027,€11M,€20K,2007,
,Moi Gómez CM CDM,31,76,76,CA Osasuna 2022 ~ 2027,€6M,€32K,2008,
,Unai López CM CDM,29,76,76,Rayo Vallecano 2021 ~ 2030,€7.5M,€24K,2076,
,C. Ejuke LW LM RM,27,76,76,Sevilla FC 2024 ~ 2027,€8M,€31K,1902,
,L. Agoumé CDM CM CAM,23,76,82,Sevilla FC 2024 ~ 2028,€11M,€24K,1982,
,Kike Salas CB LB CDM,23,76,82,Sevilla FC 2021 ~ 2029,€11M,€24K,1787,
,Pedraza LB LM,29,76,76,Villarreal CF 2014 ~ 2030,€6.5M,€34K,2059,
,T. Buchanan RM LM RW,26,76,76,Villarreal CF 2025 ~ 2030,€8M,€34K,2025,
,Diego Conde GK,26,76,79,Villarreal CF 2024 ~ 2029,€7.5M,€21K,1175,
,Rafa Marín CB,23,76,83,"Villarreal CF Jun 30, 2026 On loan",€14M,€59K,1741,
,Pablo Martínez CM LM CDM,27,76,76,Levante UD 2019 ~ 2028,€8M,€27K,2045,
,Manu Sánchez LB LM,24,76,80,"Levante UD Jun 30, 2026 On loan",€10M,€22K,1844,
,Diego Rico LB CB LM,32,76,76,Getafe CF 2024 ~ 2030,€5M,€31K,2043,
,Juan Iglesias RB LB RM,26,76,77,Getafe CF 2019 ~ 2029,€8M,€29K,1811,
,Z. Romero CB LB,25,76,79,"Getafe CF Jun 30, 2026 On loan",€9M,€26K,1695,
,V. Birmančević LW ST RW LM,27,76,76,"Getafe CF Jun 30, 2026 On loan",€8M,€25K,1896,
,Vitor Reis CB,19,76,86,"Girona FC Jun 30, 2026 On loan",€15M,€56K,1752,
,A. Witsel CDM CM,36,76,76,Girona FC 2025 ~ 2028,€1.5M,€22K,1952,
,D. Blind CB LB CM,35,76,76,Girona FC 2023 ~ 2028,€2M,€22K,2000,
,David López CB,35,76,76,Girona FC 2022 ~ 2029,€2M,€22K,1822,
,Bryan Gil LW LM RM,24,76,79,Girona FC 2025 ~ 2030,€10M,€27K,1810,
,Dário Essugo CDM CM,20,75,83,Chelsea 2025 ~ 2033,€11.5M,€58K,1951,
,C. Alcaraz CAM CM,22,75,82,Everton 2025 ~ 2027,€11.5M,€32K,1956,
,J. Piroe ST,25,75,77,Leeds United 2023 ~ 2027,€7M,€51K,1787,
,I. Gruev CDM CM,25,75,77,Leeds United 2023 ~ 2027,€6.5M,€44K,1914,
