"number";"player";"team";"apps";"min";"goals";"NPG";"a"
424;"Matías Dituro";"Elche";22;1980;0;0;0
425;"Gavi";"Barcelona";11;578;0;0;1
426;"Álex Balde";"Barcelona";28;1910;0;0;2
427;"Julen Agirrezabala";"Valencia";18;1620;0;0;0
428;"Leo Román";"Mallorca";33;2970;0;0;0
429;"Jon Karrikaburu";"Real Sociedad";7;107;0;0;0
430;"Antonio Sánchez";"Mallorca";30;1016;0;0;0
431;"Rubén Sánchez";"Espanyol";21;774;0;0;1
432;"Hugo Gonzalez";"Celta Vigo";1;4;0;0;0
433;"Carlos Martín";"Rayo Vallecano";11;473;0;0;0
434;"César Tárrega";"Valencia";32;2588;0;0;0
435;"Ilias Akhomach";"Rayo Vallecano,Villarreal";20;876;0;0;1
436;"Javi Llabrés";"Mallorca";16;147;0;0;0
437;"Rubén Iranzo";"Valencia";1;1;0;0;0
438;"Zito";"Mallorca";10;511;0;0;2
439;"Ugo Raghouber";"Levante";16;705;0;0;0
440;"Abu Kamara";"Getafe";12;210;0;0;0
441;"Damián Rodríguez";"Celta Vigo";2;155;0;0;0
442;"Luca Koleosho";"Espanyol";3;48;0;0;0
443;"Jorge Herrando";"Osasuna";28;1597;0;0;1
444;"Ángel Fortuño";"Espanyol";1;90;0;0;0
445;"Omar El Hilali";"Espanyol";36;2853;0;0;2
446;"Copete";"Valencia";21;1767;0;0;0
447;"André Almeida";"Valencia";22;1007;0;0;2
448;"Veljko Birmancevic";"Getafe";6;129;0;0;0
449;"Abdul Mumin";"Rayo Vallecano";3;77;0;0;0
450;"Marc Casadó";"Barcelona";24;957;0;0;1
451;"Pablo Marín";"Real Sociedad";34;1491;0;0;1
452;"Manu Bueno";"Sevilla";8;256;0;0;0
453;"Cyril Ngonge";"Espanyol";9;441;0;0;2
454;"Gabriel Suazo";"Sevilla";29;2107;0;0;2
455;"Dawda Camara";"Girona";2;73;0;0;0
456;"Renato Veiga";"Villarreal";33;2553;0;0;0
457;"Iker Muñoz";"Osasuna";19;928;0;0;0
458;"Haissem Hassan";"Real Oviedo";38;1937;0;0;3
459;"Justin-Noel Kalumba";"Mallorca";3;81;0;0;0
460;"Yago Alonso";"Elche";9;275;0;0;0
461;"Federico Gattoni";"Sevilla";1;5;0;0;0
462;"Álvaro Vallés";"Real Betis";28;2520;0;0;0
463;"Lucas Bergström";"Mallorca";5;450;0;0;0
464;"Carlos Benavídez";"Alaves";13;311;0;0;0
465;"Adrià Alti";"Villarreal";1;7;0;0;0
466;"Natan";"Real Betis";33;2820;0;0;0
467;"Clemens Riedel";"Espanyol";20;1405;0;0;1
468;"Dani Pérez";"Real Betis";1;1;0;0;0
469;"Jhon Solis";"Girona";12;362;0;0;0
470;"David López";"Mallorca";14;827;0;0;0
471;"Javier Rodríguez";"Celta Vigo";33;2568;0;0;1
472;"Victor Parada";"Alaves";30;2159;0;0;3
473;"Álex Padilla";"Athletic Club";1;90;0;0;0
474;"Rayane Belaid";"Atletico Madrid";2;140;0;0;0
475;"Willy Kambwala";"Villarreal";2;85;0;0;0
476;"Augusto Batalla";"Rayo Vallecano";34;3060;0;0;0
477;"Johnny Cardoso";"Atletico Madrid";15;905;0;0;0
478;"Iñaki Rupérez";"Real Sociedad";1;1;0;0;0
479;"Horatiu Moldovan";"Real Oviedo";2;180;0;0;0
480;"Stanis Idumbo Muzambo";"Sevilla";1;48;0;0;0
481;"Iñigo Arguibide";"Osasuna";6;187;0;0;0
482;"Yoel Lago";"Celta Vigo";12;966;0;0;0
483;"Ladislav Krejcí";"Girona";2;180;0;0;0
484;"Alejandro Francés";"Girona";24;1077;0;0;2
485;"Adama Boiro";"Athletic Club";14;810;0;0;0
486;"Gerard Martín";"Barcelona";32;2145;0;0;0
487;"Pedro Díaz";"Rayo Vallecano";34;1868;0;0;1
488;"Pelayo Fernández";"Rayo Vallecano";1;37;0;0;0
489;"Buba Sangaré";"Elche";12;556;0;0;0
490;"Marc Domenech";"Mallorca";7;198;0;0;1
491;"Endrick";"Real Madrid";1;5;0;0;0
492;"Antoniu Roca";"Espanyol";13;262;0;0;0
493;"Pau Navarro";"Villarreal";24;2034;0;0;0
494;"Luiz Júnior";"Villarreal";28;2520;0;0;0
495;"Jan Salas";"Mallorca";2;6;0;0;0
496;"Bojan Miovski";"Girona";1;44;0;0;0
497;"Yáser Asprilla";"Girona";15;601;0;0;0
498;"Pau Cabanes De La Torre";"Villarreal";1;10;0;0;0
499;"Coba da Costa";"Getafe";14;318;0;0;0
500;"Matías Moreno";"Levante";28;2265;0;0;0
501;"Toni Fernández";"Barcelona";1;48;0;0;0
502;"David Jiménez";"Real Madrid";2;78;0;0;0
503;"Ramón Martínez";"Sevilla";2;99;0;0;0
504;"Álvaro Cortés";"Barcelona";1;90;0;0;0
505;"Alassane Diatta";"Villarreal";1;19;0;0;0
506;"Diego Aguado";"Real Madrid";1;24;0;0;0
507;"Daniel Yáñez";"Real Madrid";2;40;0;0;1
508;"Arkaitz Mariezkurrena";"Real Sociedad";1;1;0;0;0
509;"Youssef Lekhedim";"Alaves";25;1332;0;0;1
510;"Facundo Garcés";"Alaves";10;786;0;0;0
511;"Ismael Bekhoucha";"Getafe";4;106;0;0;1
512;"Ángel Ortiz";"Real Betis";13;584;0;0;0
513;"Pablo García";"Real Betis";15;346;0;0;0
514;"Vladyslav Krapyvtsov";"Girona";2;136;0;0;0
515;"Luken Beitia";"Real Sociedad";2;91;0;0;0
516;"Valde";"Real Madrid";1;81;0;0;0
517;"Daniel Díaz";"Real Sociedad";1;13;0;0;0
518;"Mikel Goti";"Real Sociedad";4;64;0;0;0
519;"Hugo Solozabal";"Getafe";1;4;0;0;0
520;"Lander Pinillos";"Alaves";1;1;0;0;0
521;"Jozhua Vertrouwd";"Rayo Vallecano";9;433;0;0;0
522;"Samu Becerra";"Rayo Vallecano";3;9;0;0;0
523;"Oier Luengo";"Real Oviedo";3;228;0;0;1
524;"Rahim Alhassane";"Real Oviedo";28;1689;0;0;0
525;"Kwasi Sibo";"Real Oviedo";27;1782;0;0;0
526;"Borja Sánchez";"Real Oviedo";1;9;0;0;0
527;"Marco Esteban";"Real Oviedo";1;40;0;0;0
528;"Omar Falah";"Real Oviedo";1;9;0;0;0
529;"Jofre Torrents";"Barcelona";3;33;0;0;0
530;"Dro Fernández";"Barcelona";4;83;0;0;0
531;"Filip Ugrinic";"Valencia";27;1515;0;0;3
532;"Calebe";"Alaves";19;767;0;0;0
533;"Jorge Cabello";"Levante";5;367;0;0;0
534;"Paco Cortés";"Levante";12;456;0;0;0
535;"Nacho Pérez";"Levante";3;147;0;0;0
536;"Manuel Fernández";"Celta Vigo";14;768;0;0;0
537;"Davinchi";"Getafe";14;688;0;0;0
538;"Joselu Pérez";"Getafe";2;16;0;0;0
539;"Miguel Sierra";"Sevilla";4;50;0;0;0
540;"Álvaro Núñez";"Celta Vigo,Elche";25;2006;0;0;2
541;"Ali Houary";"Elche";2;133;0;0;0
542;"Federico Redondo";"Elche";11;158;0;0;0
543;"Bambo Diaby";"Elche";4;98;0;0;0
544;"Thiago Pitarch";"Real Madrid";10;615;0;0;2
545;"Iván Corralejo";"Real Betis";1;11;0;0;0
546;"Jano Monserrate";"Atletico Madrid";2;14;0;0;0
547;"Santiago Colombatto";"Real Oviedo";33;2157;0;0;1
548;"Álex Forés";"Real Oviedo";18;331;0;0;1
549;"Hugo Lopez";"Villarreal";2;57;0;0;0
550;"Nelson Deossa";"Real Betis";20;725;0;0;0
551;"Fábio Cardoso";"Sevilla";4;309;0;0;0
552;"Lucas Ahijado";"Real Oviedo";20;1086;0;0;1
553;"Taufik Seidu";"Atletico Madrid";1;15;0;0;0
554;"Alex Sancris";"Getafe";18;693;0;0;1
555;"Lancinet Kourouma";"Girona";5;23;0;0;0
556;"Javier Olaizola";"Mallorca";2;44;0;0;0
557;"Diego Morcillo";"Alaves";1;8;0;0;0
558;"Carlos Ballestero";"Alaves";1;1;0;0;0
559;"Xavi Espart";"Barcelona";4;157;0;0;0
560;"Selton Sánchez";"Athletic Club";7;191;0;0;1
561;"Pablo Agudín";"Real Oviedo";8;60;0;0;0
562;"Asier Hierro";"Athletic Club";1;30;0;0;0
563;"Jorge Montes";"Getafe";1;24;0;0;0
564;"Tomás Marqués";"Barcelona";2;5;0;0;0
565;"Gorka Carrera";"Real Sociedad";3;49;0;0;0
566;"Eder García";"Athletic Club";2;30;0;0;0
567;"Carlos Macià";"Villarreal";5;65;0;0;0
568;"Aitor Mañas";"Alaves";9;105;0;0;0
569;"Aleksa Puric";"Atletico Madrid";2;40;0;0;0
570;"Juan Arango";"Girona";2;14;0;0;0
571;"Dani Martinez";"Atletico Madrid";1;90;0;0;0
572;"Jorge Cestero";"Real Madrid";2;8;0;0;0
573;"Kareem Tunde";"Levante";21;1183;0;0;1
574;"Lander Astiazarán";"Real Sociedad";1;1;0;0;0
575;"Alejandro Mestanza";"Getafe";3;68;0;0;0
576;"Nicolás Fonseca";"Real Oviedo";19;1028;0;0;0
577;"Ibai Aguirre";"Real Sociedad";1;4;0;0;0
578;"Julio Díaz";"Atletico Madrid";4;322;0;0;1
579;"Thiago Borbas";"Real Oviedo";12;140;0;0;0
580;"César Palacios";"Real Madrid";5;68;0;0;0
581;"Álvaro Leiva";"Real Madrid";1;2;0;0;0
582;"Hugo Burcio";"Celta Vigo";1;4;0;0;0
583;"Job Ochieng";"Real Sociedad";2;92;0;0;0
584;"Álex Sánchez";"Elche";1;5;0;0;1
585;"Sebastián Boselli";"Getafe";11;356;0;0;0
586;"Thiago Fernández";"Real Oviedo";17;919;0;0;4
587;"Alexander Freeman";"Villarreal";10;332;0;0;0
588;"Tai Abed";"Levante";7;68;0;0;0
589;"Wesley";"Real Sociedad";5;74;0;0;0
590;"Obed Vargas";"Atletico Madrid";12;742;0;0;1
591;"Andrés Antañón";"Celta Vigo";2;64;0;0;0
592;"Manuel Ángel";"Real Madrid";4;86;0;0;0
593;"Renzo Saravia";"Valencia";5;358;0;0;0
594;"Ville Koski";"Alaves";5;281;0;0;0
595;"Javier Morcillo";"Atletico Madrid";5;152;0;0;0
596;"Lluc Castell";"Espanyol";1;15;0;0;0
597;"Damián Cáceres";"Getafe";3;150;0;0;0
598;"Miguel Calatayud";"Mallorca";2;34;0;0;0
599;"Luis Orejuela";"Mallorca";1;90;0;0;0
600;"Manuel Serrano";"Real Madrid";1;3;0;0;0
