"number";"player";"team";"apps";"min";"goals";"NPG";"a"
518;"Jun&#039;ai Byfield";"Tottenham";1;1;0;0;0
519;"James Rowswell";"Tottenham";1;1;0;0;0
520;"George Hemmings";"Aston Villa";2;19;0;0;0
521;"Shea Lacey";"Manchester United";3;31;0;0;0
522;"Romelle Donovan";"Brentford";4;23;0;0;0
523;"Mohamadou Kanté";"West Ham";11;47;0;0;0
524;"Joél Drakes-Thomas";"Crystal Palace";2;2;0;0;0
525;"Bendito Mantato";"Manchester United";1;14;0;0;0
526;"Tyler Fletcher";"Manchester United";2;14;0;0;0
527;"Jaydon Banel";"Burnley";1;7;0;0;0
528;"Pablo";"West Ham";14;844;0;0;1
529;"Kaye Furo";"Brentford";1;1;0;0;0
530;"Alex Tóth";"Bournemouth";9;136;0;0;0
531;"Jerome Abbey";"Wolverhampton Wanderers";1;6;0;0;0
532;"Souza";"Tottenham";4;136;0;0;0
533;"Nilson Angulo";"Sunderland";8;415;0;0;0
534;"Melker Ellborg";"Sunderland";3;270;0;0;0
535;"Alysson Edward";"Aston Villa";3;34;0;0;0
536;"Djiamgone Jocelin Ta Bi";"Sunderland";1;38;0;0;0
537;"Jesse Derry";"Chelsea";1;53;0;0;0
